Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2002,724,1,0,"H2","080711",8,11651356,11651356,6853324,0
2002,724,2,0,"H2","080711",8,308473693,308473693,108493310,0
2002,724,2,20,"H2","080711",8,129182,129182,55128,0
2002,724,1,40,"H2","080711",8,43061,43061,12229,0
2002,724,2,40,"H2","080711",8,8962495,8962495,3955087,0
2002,724,2,56,"H2","080711",8,4973568,4973568,2105721,0
2002,724,2,70,"H2","080711",8,17726,17726,5334,0
2002,724,1,76,"H2","080711",8,879639,879639,464624,0
2002,724,2,132,"H2","080711",8,850,850,1131,0
2002,724,1,152,"H2","080711",8,211,211,575,0
2002,724,1,188,"H2","080711",8,1500703,1500703,915732,0
2002,724,2,191,"H2","080711",8,50493,50493,20364,0
2002,724,2,203,"H2","080711",8,6010666,6010666,2403380,0
2002,724,2,208,"H2","080711",8,7667908,7667908,3170301,0
2002,724,1,218,"H2","080711",8,733656,733656,435172,0
2002,724,2,233,"H2","080711",8,121914,121914,37840,0
2002,724,2,246,"H2","080711",8,6620997,6620997,2323437,0
2002,724,1,251,"H2","080711",8,782016,782016,211230,0
2002,724,2,251,"H2","080711",8,63276657,63276657,21552769,0
2002,724,1,276,"H2","080711",8,606380,606380,172965,0
2002,724,2,276,"H2","080711",8,122945054,122945054,41106318,0
2002,724,2,292,"H2","080711",8,92871,92871,35405,0
2002,724,1,340,"H2","080711",8,9579,9579,5422,0
2002,724,2,348,"H2","080711",8,847427,847427,459379,0
2002,724,2,372,"H2","080711",8,117016,117016,39175,0
2002,724,1,381,"H2","080711",8,3578,3578,1016,0
2002,724,2,381,"H2","080711",8,5276802,5276802,2309177,0
2002,724,2,428,"H2","080711",8,62802,62802,27458,0
2002,724,2,440,"H2","080711",8,28029,28029,7921,0
2002,724,2,442,"H2","080711",8,43914,43914,25951,0
2002,724,1,504,"H2","080711",8,943583,943583,595553,0
2002,724,2,504,"H2","080711",8,25411,25411,14035,0
2002,724,1,528,"H2","080711",8,1635962,1635962,958547,0
2002,724,2,528,"H2","080711",8,23502120,23502120,8237826,0
2002,724,2,579,"H2","080711",8,6308459,6308459,2579954,0
2002,724,1,591,"H2","080711",8,4045832,4045832,2939931,0
2002,724,2,616,"H2","080711",8,9842147,9842147,3729109,0
2002,724,1,620,"H2","080711",8,291390,291390,88486,0
2002,724,2,620,"H2","080711",8,8509866,8509866,2081354,0
2002,724,2,643,"H2","080711",8,27448,27448,10263,0
2002,724,2,694,"H2","080711",8,2454,2454,1531,0
2002,724,2,703,"H2","080711",8,736937,736937,239663,0
2002,724,2,705,"H2","080711",8,207416,207416,116143,0
2002,724,1,710,"H2","080711",8,16121,16121,631,0
2002,724,2,710,"H2","080711",8,60,60,57,0
2002,724,2,752,"H2","080711",8,13433366,13433366,4960540,0
2002,724,2,757,"H2","080711",8,717077,717077,297956,0
2002,724,1,818,"H2","080711",8,20700,20700,8855,0
2002,724,1,826,"H2","080711",8,92205,92205,26186,0
2002,724,2,826,"H2","080711",8,17913494,17913494,6583412,0
2002,724,1,858,"H2","080711",8,46740,46740,16167,0
2002,724,2,891,"H2","080711",8,1067,1067,189,0
2003,724,1,0,"H2","080711",8,10015493,10015493,6162366,0
2003,724,2,0,"H2","080711",8,326133836,326133836,170826813,0
2003,724,2,20,"H2","080711",8,137001,137001,90172,0
2003,724,1,32,"H2","080711",8,23400,23400,6692,0
2003,724,2,40,"H2","080711",8,7465892,7465892,4582083,0
2003,724,2,56,"H2","080711",8,5985714,5985714,3828538,0
2003,724,2,70,"H2","080711",8,39243,39243,14755,0
2003,724,1,76,"H2","080711",8,1009151,1009151,440596,0
2003,724,1,100,"H2","080711",8,19896,19896,5380,0
2003,724,2,112,"H2","080711",8,400,400,91,0
2003,724,1,188,"H2","080711",8,1172363,1172363,564650,0
2003,724,2,191,"H2","080711",8,66202,66202,37523,0
2003,724,2,203,"H2","080711",8,5221653,5221653,2670732,0
2003,724,2,208,"H2","080711",8,5666051,5666051,2660186,0
2003,724,1,218,"H2","080711",8,121647,121647,65685,0
2003,724,2,233,"H2","080711",8,19696,19696,16640,0
2003,724,2,246,"H2","080711",8,5592339,5592339,2833210,0
2003,724,1,251,"H2","080711",8,329933,329933,163623,0
2003,724,2,251,"H2","080711",8,76482157,76482157,40561733,0
2003,724,1,276,"H2","080711",8,199240,199240,65826,0
2003,724,2,276,"H2","080711",8,129666784,129666784,65393797,0
2003,724,2,292,"H2","080711",8,59910,59910,40667,0
2003,724,2,300,"H2","080711",8,191676,191676,131774,0
2003,724,1,340,"H2","080711",8,26126,26126,11873,0
2003,724,2,348,"H2","080711",8,1166022,1166022,810697,0
2003,724,2,352,"H2","080711",8,20719,20719,13246,0
2003,724,2,372,"H2","080711",8,114677,114677,71066,0
2003,724,1,381,"H2","080711",8,86526,86526,21594,0
2003,724,2,381,"H2","080711",8,7752932,7752932,5844709,0
2003,724,2,428,"H2","080711",8,17943,17943,14990,0
2003,724,2,440,"H2","080711",8,78024,78024,38133,0
2003,724,2,442,"H2","080711",8,24596,24596,12153,0
2003,724,2,478,"H2","080711",8,470,470,375,0
2003,724,1,504,"H2","080711",8,1144605,1144605,472757,0
2003,724,2,504,"H2","080711",8,15343,15343,14009,0
2003,724,1,528,"H2","080711",8,715811,715811,409913,0
2003,724,2,528,"H2","080711",8,25971259,25971259,13483697,0
2003,724,2,579,"H2","080711",8,6856116,6856116,3474132,0
2003,724,1,591,"H2","080711",8,4756832,4756832,3833749,0
2003,724,2,616,"H2","080711",8,7053629,7053629,3975567,0
2003,724,1,620,"H2","080711",8,409963,409963,100028,0
2003,724,2,620,"H2","080711",8,9043600,9043600,4047915,0
2003,724,2,643,"H2","080711",8,241374,241374,97776,0
2003,724,2,703,"H2","080711",8,486610,486610,236678,0
