Producto,Producción/Valor,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AGUACATE, Producción (toneladas),..,"52.144,0","53.197,0","51.745,0","34.101,0","27.955,0","52.085,0","52.409,0","53.724,0","66.099,0","63.843,0","74.981,0","74.204,0","76.609,0","76.297,0","74.994,0","79.824,0","82.116,0","73.585,0","71.931,0","75.655,0"
TRIGO, Valor (1),"737.905,0","909.607,0","702.392,0","805.789,0","677.980,0","533.096,0","935.558,0","721.786,0","776.306,0","728.144,0","942.900,0","745.145,0","914.852,0","830.620,0","1.004.186,0","562.126,0","769.156,0","1.353.566,0","1.495.406,8","770.205,0","1.034.362,0"
CHIRIMOYO, Producción (toneladas),"23.361,0","27.447,0","22.346,0","31.239,0","25.758,0","22.023,0","28.736,0","32.005,0","36.501,0","34.864,0","31.208,0","32.035,0","27.828,0","25.853,0","22.710,0","22.451,0","29.025,0","29.671,0","51.356,0","38.775,0","50.241,0"
CEBADA, Valor (1),"1.267.042,0","1.265.275,0","819.328,0","1.286.164,0","982.280,0","751.594,0","1.400.242,0","1.140.241,0","1.288.032,0","901.663,0","1.279.267,0","790.516,0","988.427,0","1.056.299,0","1.340.617,0","614.341,0","1.022.744,0","2.193.161,0","1.912.466,6","909.803,0","1.225.605,0"
NÍSPERO, Producción (toneladas),"35.103,0","29.017,0","36.882,0","32.009,0","38.093,0","36.520,0","41.625,0","42.662,0","45.873,0","44.198,0","47.011,0","44.445,0","45.186,0","43.700,0","38.604,0","18.597,0","36.467,0","33.158,0","34.484,0","33.328,0","31.834,0"
AVENA, Valor (1),"64.078,0","51.667,0","43.582,0","61.147,0","54.578,0","36.076,0","93.345,0","75.432,0","94.371,0","67.600,0","112.917,0","82.950,0","111.144,0","108.295,0","130.372,0","76.708,0","121.359,0","207.233,0","203.323,3","117.248,8","143.145,0"
GRANADO, Producción (toneladas),"19.413,0","23.205,0","18.850,0","23.875,0","23.821,0","20.681,0","25.039,0","27.461,0","30.609,0","34.189,0","33.386,0","33.322,0","37.424,0","35.320,0","29.804,0","28.812,0","27.389,0","25.632,0","23.169,0","22.311,0","26.582,0"
CENTENO, Valor (1),"36.211,0","32.406,0","31.958,0","45.719,0","26.771,0","25.145,0","38.636,0","27.712,0","25.455,0","25.853,0","24.858,0","12.519,0","21.575,0","25.281,0","20.210,0","16.950,0","21.120,0","46.498,0","45.398,9","22.005,1","37.853,0"
KIWI, Producción (toneladas),..,"1.151,0","10.748,0","9.294,0","11.234,0","9.332,0","8.061,0","8.811,0","6.716,0","8.543,0","14.285,0","8.935,0","14.718,0","12.696,0","10.931,0","11.555,0","18.463,0","14.036,0","17.799,0","25.285,0","25.676,0"
TRITICALE, Valor (1),..,..,..,"6.920,0","7.386,0","4.024,0","12.020,0","8.982,0","6.743,0","3.396,0","12.310,0","12.428,0","12.538,0","12.748,0","13.681,0","7.528,0","15.959,0","24.583,0","25.178,3","21.396,9","25.344,0"
AVELLANO, Producción (toneladas),"21.270,0","18.096,0","26.430,0","12.107,0","22.657,0","15.492,0","7.030,0","21.252,0","17.667,0","29.811,0","25.188,0","26.711,0","22.781,0","12.559,0","26.629,0","23.027,0","24.810,0","16.134,0","24.330,0","10.290,0","15.086,0"
ARROZ, Valor (1),"145.878,0","147.875,0","146.000,0","101.842,0","155.631,0","118.345,0","246.334,0","243.328,0","233.334,0","226.397,0","226.961,0","244.432,0","225.285,0","236.675,0","187.193,0","157.735,0","158.053,0","196.338,0","234.702,0","275.314,1","238.727,0"
