Título,Ene-11,Ene-12,feb-11,feb-12,mar-11,mar-12,abr-11,abr-12,may-11,may-12,jun-11,jun-12,jul-11,jul-12,ago-11,ago-12,sep-11,sep-12,oct-11,oct-12,nov-11,nov-12,dic-11,dic-12
ALBARICOQUES ,"37344,75","37198,65","37474,82","37060,91","37497,38","37142,47","37603,99","37038,71","43070,72","34685,39","42525,69","38508,03","37850,64","42869,15","4635721,34","4765371,06","37203,62","42255,66","37066,18","42491,08","37014,33","42363,45","36965,48","42243,87"
BEBIDA CON VINO ,"45561,45","53782,61","46288,3","53883,53","46799,21","54239,96","47679,95","54131,07","48163,94","54267,58",49203,"56356,34","50739,24","56254,47","2836523,93","2873667,54","52776,83","57654,99","53309,23","58291,89","53763,37","58434,44","53770,24","58491,86"
BEBIDAS ESPIRITUOSAS ,"46596,9","42327,09","46011,63","42873,76","45578,25","42667,54","45399,57","42599,45","45422,26","42862,29","45310,5","42897,12","44790,44","42802,66","1036505,34","1061664,32","44083,15","42796,31","43961,18","42852,58","42113,84","42901,23","42562,19","42087,73"
CEBOLLAS ,"341008,84","342456,12","340260,63","345924,59","341673,93","343925,79","341052,96","345871,17","342333,1","343833,43","343952,22","343762,21","341927,54","341514,26","904957,94","922001,83","340187,8","343218,24","339458,52","345035,23","340663,89","344315,69","340861,62","344620,43"
CEREZAS ,"60031,8","72459,15","60092,2","72552,18","59633,72","72646,59","60168,72","72282,97","71402,68","63735,1","75395,74","59717,32","72412,62","59132,97","770412,61","813187,48","72114,31","59745,62","71644,46","60200,04","71865,6","60040,71","72157,34","59862,33"
CERVEZAS ,"763823,73","783678,53","764874,61","784769,45","764112,82","789022,71","765514,5","789706,48","769881,89","791871,86","776188,83","801151,72","768500,25","806582,13","685363,32","685844,68","774744,41","811964,69","779663,13","810023,9","781160,3","811553,24","785386,42","812915,85"
CIRUELAS ,"82314,01","79373,37","82672,71","79147,68","82191,3","79635,1","82529,63","79804,74","83181,36","78889,65","86605,7","76885,91","90614,2","75017,26","529741,31","549102,05","87909,89","74874,1","82655,67","78474,17","80553,68","79915,65","79803,87","80934,04"
COLES ,"89149,61","88053,46","90113,26","87810,79",89680,"86889,64",89539,"88221,38","88838,65","88626,82","87997,06","88921,19","88519,5","88826,42","496760,62","528025,74","87704,86","89666,53","86105,52","90123,5","87458,42","90777,28","87405,03","91337,05"
ESPUMOSOS/CAVAS D.O. ,"26217,78","27964,99","26279,49","27772,08","26104,13","27945,99","26398,37","27676,23","26219,99","27805,34","26286,77","27871,15","26418,5","27590,6","537019,7","515248,36","27224,85","28104,53","27598,85","27941,96","27636,3","28157,12","27895,81","27052,21"
FRESAS/FRESON ,"108430,74","119057,8","106774,71","127329,06","112883,91","130477,48","115493,42","129295,08","117615,16","126451,54","113990,9","127358,24","114138,86","127830,14","399371,68","415658,68","114465,63","129765,77","114644,33","130162,85","114775,26","130174,36","115097,22","130044,27"
JUDIAS VERDES ,"108294,78","110562,48","106846,25","109918,3","106585,28","108982,12","105322,88","109822,35","104963,19","109562,95","105503,82","107714,11","105861,38","106059,32","355972,47","400513,5","106983,35","104726,84","109162,3","104889,5","109966,76","104678,88","111069,25","104281,45"
KIWI ,"153640,03","141139,39","152425,38","142196,48","151095,07","142465,81","149121,01","145437,97","147202,61","147602,91","144611,43","150385,36","143364,34","151248,25","339640,55","342766,44","143180,4","151849,33","142381,88","153520,99","140807,62","155947,37","141999,73","157050,12"
LECHUGA/ESC./ENDIVIA ,"220224,86","218549,38",220930,"217430,89","221115,79","215420,13","220577,54","214375,79","219977,13","214183,15","217883,55","215682,41","218411,58","215694,16","312727,91","319548,84","217587,41","217540,09","217207,4","217253,84","218060,93","216144,84","217918,46","215822,05"
LIMONES ,"98887,36","104412,79","99318,26","104321,38","99639,28","103116,86","99748,28","102931,2","100561,31","102891,63","101015,76","103795,97","100886,76","104599,47","304065,25","314513,36","102637,57","105049,13","102977,99","104903,25","103162,76","105412,44","103918,28","104440,98"
MANDARINAS ,"291032,95","309150,96","293229,38","313697,85","296696,58","315265,99","298774,39","317150,65","302479,07","316282,39","303222,5","315580,24","303505,44","315152,28","225891,12","236523,91","305748,12","314216,89","309226,18","312771,45","307099,83","314759,53","306662,69","318007,13"
MANZANAS ,"548433,91","549447,63","545094,76","551612,32","540987,57","548611,04","536660,37","549936,2","531423,76","552040,35","529228,78","552755,19","527946,34","551132,26","219884,42","232820,46","533878,14","544280,48",540620,"541008,24","544769,71","537166,35","547775,51","534132,26"
MELOCOTONES ,"220482,31","201737,86","220655,79","201678,84","220820,58","201609,96","221069,81","201320,47","223843,4","199156,78","231458,41","194644,07","230845,31","190259,06","218107,44","216889,63","221039,92","194376,5","208540,01","201973,55","202263,94","204661,86","201696,04","204370,49"
MELON ,"392580,08","400882,23","390692,59","402819,03","387093,87","406247,37","386155,6","408440,55","388424,27","409748,03","391903,81","416403,69","389701,94","421911,64","226589,92","192665,47","401298,65","416088,69","397895,8","421568,64","399132,96","424952,4","400509,57","422105,8"
NARANJAS ,"927420,52","914454,94","917883,12","916940,34","913500,12","910146,24","903926,12","911548,94","899985,54","918927,82","898837,47","922427,25","901740,72","921853,26","142516,21","151783,25","908290,2","921062,18","907385,51","920616,07","909738,35","924066,35","915785,34","922144,29"
OTROS VINOS ,"33967,43","33219,28","33924,63","33174,4","33545,83","33255,91","33515,88","33299,18","33395,77","33413,41","33392,34","33556,72","33300,61","33587,27","138841,14","139923,43","32719,8","33518,31","32832,81","33263,86","54975,41","53012,97","33076,28","32836,36"
PATATAS FRESCAS ,"1057751,88","1033018,18","1056286,79","1039015,47","1052023,57","1038207,17","1051420,69","1042193,45","1046306,95","1048826,85","1046443,21","1051645,35","1046577,19","1054065,3","114035,22","129194,69","1035659,98","1057828,35","1025723,83","1062176,72","1031502,14","1063619,18","1033629,63","1065619,1"
PERAS ,"323829,81","320942,57","322643,44","320134,63","321053,18","319356,13","319657,13","320785,5","317169,38","322859,34","315193,45","323720,79","313456,58","321117,07","104727,91","109541,55","310621,11","318356,55","314255,3","314770,35","319437,56","310846,27","320765,11","307551,39"
PIMIENTOS ,"212853,32","228623,95","212856,6","229043,39","213320,3","228714,84","214623,69","232518,34","216279,73","234680,91","217755,37","233873,26","219149,58","233058,98","106063,87","105807,88","222534,07","231864,55","223938,72","232952,77","226964,49","231469,77","228348,29","231819,43"
PLATANOS ,"512402,54","506348,02","508310,55","509722,46","505372,34","510764,83","500196,03","515658,33","495058,61","519379,24","492050,07","525465,35","493361,85","528255,42","101583,97","104913,07","500010,84","527162,96","500365,88","528023,69","501209,2","528043,14","505944,11","525457,3"
SANDIA ,"364510,92","348589,01","363710,71","348673,34","362887,89","349293,58","364516,54","349045,87","369100,36","362217,54","359997,61","390408,59","355917,31","399788,09","88080,7","89672,39","354786,15","397391,03","348645,01","401740,99","348584,64","400918,56","348696,11","401041,45"
SIDRA ,"15023,96","14902,34","15260,52","14700,35","15350,21","14519,34","15412,15","14444,57","15308,65","14151,65","15113,28","14283,3","15007,04","14150,47","91426,3","73345,68","15052,87","14020,93","15174,79","13880,4","15136,27","13792,51","15069,89","14062,09"
T.FRUTAS FRESCAS ,"4648441,51","4668688,02","4626455,37","4696120,89","4616182,47","4697411,01","4599455,42","4712051,2","4616928,84","4723251,52","4622641,33","4758245,54","4613419,09","4770041,99","72181,94","59413,5","4643121,43","4760489,15","4624704,92","4775618,27","4633911,87","4789052,2","4656017,6","4780961,02"
T.HORTALIZAS FRESCAS ,"2771213,57","2890789,71","2779754,31","2894077,22","2800495,7","2879370,9","2803993,25","2889350,28","2813090,78","2889116,07",2820943,"2891590,38","2828954,65","2876035,34","51895,05","57227,24","2847268,22","2870092,74","2847548,76","2874578,36","2868583,53","2872719,4","2884410,86","2870562,27"
TOMATES ,"3144410,50333333","699604,41","650997,81","699050,01","657979,53","697720,61","664837,92","696821,15","671720,67","694930,9","676236,3","698930,98","681925,63","689691,93","45035,32","42788,53","687885,75","682575,62","689973,78","683312,74",#REF!,"683464,74","699984,41","683567,12"
TOTAL ZUMO Y NECTAR ,"569844,93","532419,26","561984,35","531746,71","557376,69","528364,82","550970,38","523375,29",549740,"517357,58","544178,65","519077,5","537584,6","517220,09","37234,06","42669,4","537442,33","510767,75","537721,12","506970,62","537746,22","506150,87","537491,2","504212,29"
UVAS ,"103100,84","110765,82","102624,68","111124,88","101854,4","111386,22","101405,54","111347,04","101400,94","111154,64","100911,49","110900,16","101461,68","110260,78","33081,96","33487,06","106481,88","107257,04","104865,09","103546,84","106865,21","103993,24","110053,03","102869,82"
VINO DE MESA SIN D.O. ,"229733,25","227186,09","231332,21","225886,19","232111,22","225237,25","231874,91","225573,61","230291,45","225925,35","227278,61","231849,79","225000,96","235080,99","26998,07","27968,11","225855,44","236050,34","225213,4","234230,71","225101,59","236006,3","226045,39","234184,78"
VINOS TRANQUILOS D.O. ,"141638,9","140285,28","140901,51","141241,1","140139,95","140957,39","138870,59","140953,43","138621,95","140675,19","138273,94","141309,04","137843,27","141198,54","15071,39","14067,12","139538,18","138536,77","139387,18","137433,4","139989,26","136926,75","140682,25","135737,78"
