Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,724,1,0,H2,1509,8,48774930,48774930,117497007,0
2010,724,1,32,H2,1509,8,34440,34440,109742,0
2010,724,1,36,H2,1509,8,1947020,1947020,5158731,0
2010,724,1,40,H2,1509,8,17860,17860,55793,0
2010,724,1,56,H2,1509,8,165817,165817,504993,0
2010,724,1,100,H2,1509,8,2932535,2932535,5439256,0
2010,724,1,152,H2,1509,8,279754,279754,782502,0
2010,724,1,156,H2,1509,8,20775,20775,80857,0
2010,724,1,203,H2,1509,8,11500,11500,36853,0
2010,724,1,208,H2,1509,8,16,16,205,0
2010,724,1,233,H2,1509,8,12635,12635,68647,0
2010,724,1,246,H2,1509,8,8453,8453,43807,0
2010,724,1,251,H2,1509,8,1168499,1168499,3559386,0
2010,724,1,276,H2,1509,8,6105669,6105669,5169776,0
2010,724,1,300,H2,1509,8,1357952,1357952,2041460,0
2010,724,1,348,H2,1509,8,5614,5614,23414,0
2010,724,1,381,H2,1509,8,9332066,9332066,26612264,0
2010,724,1,392,H2,1509,8,1,1,27,0
2010,724,1,410,H2,1509,8,9,9,257,0
2010,724,1,440,H2,1509,8,6452,6452,27918,0
2010,724,1,458,H2,1509,8,1,1,170,0
2010,724,1,470,H2,1509,8,7475,7475,36393,0
2010,724,1,484,H2,1509,8,5,5,45,0
2010,724,1,490,H2,1509,8,1,1,179,0
2010,724,1,504,H2,1509,8,3182800,3182800,7766959,0
2010,724,1,528,H2,1509,8,194556,194556,530369,0
2010,724,1,568,H2,1509,8,54009,54009,299393,0
2010,724,1,604,H2,1509,8,21840,21840,58232,0
2010,724,1,616,H2,1509,8,5153,5153,26981,0
2010,724,1,620,H2,1509,8,12538544,12538544,33159111,0
2010,724,1,703,H2,1509,8,33451,33451,173852,0
2010,724,1,705,H2,1509,8,3133,3133,15711,0
2010,724,1,760,H2,1509,8,293590,293590,822930,0
2010,724,1,788,H2,1509,8,8546808,8546808,23626974,0
2010,724,1,792,H2,1509,8,400480,400480,992478,0
2010,724,1,818,H2,1509,8,8300,8300,27207,0
2010,724,1,826,H2,1509,8,59962,59962,173530,0
2010,724,1,842,H2,1509,8,17734,17734,70230,0
2010,724,1,858,H2,1509,8,21,21,374,0
2010,724,1,826,H2,71010,8,60700,60700,135941,0
2010,724,1,752,H2,71010,8,11821,11821,31041,0
2010,724,1,620,H2,71010,8,728240,728240,889006,0
2010,724,1,604,H2,71010,8,8690,8690,17837,0
2010,724,1,528,H2,71010,8,8239065,8239065,5759736,0
2010,724,1,381,H2,71010,8,233122,233122,508218,0
2010,724,1,276,H2,71010,8,443791,443791,454816,0
2010,724,1,251,H2,71010,8,119343426,119343426,102516029,0
2010,724,1,246,H2,71010,8,5376,5376,10992,0
2010,724,1,170,H2,71010,8,39761,39761,88154,0
2010,724,1,156,H2,71010,8,635122,635122,460125,0
2010,724,1,100,H2,71010,8,11520,11520,8869,0
2010,724,1,68,H2,71010,8,3420,3420,10494,0
2010,724,1,56,H2,71010,8,8023821,8023821,5176187,0
2010,724,1,0,H2,71010,8,137787874,137787874,116067447,0
2010,724,1,858,H2,70310,8,343885,343885,199913,0
2010,724,1,826,H2,70310,8,829393,829393,419253,0
2010,724,1,818,H2,70310,8,1128750,1128750,670404,0
2010,724,1,788,H2,70310,8,2640,2640,4725,0
2010,724,1,752,H2,70310,8,1250,1250,868,0
2010,724,1,705,H2,70310,8,4316,4316,3855,0
2010,724,1,699,H2,70310,8,809936,809936,392156,0
2010,724,1,686,H2,70310,8,94160,94160,38641,0
2010,724,1,620,H2,70310,8,2625099,2625099,617730,0
2010,724,1,604,H2,70310,8,3663973,3663973,1842007,0
2010,724,1,554,H2,70310,8,2200,2200,1132,0
2010,724,1,528,H2,70310,8,18899326,18899326,9179460,0
2010,724,1,504,H2,70310,8,1493541,1493541,455489,0
2010,724,1,484,H2,70310,8,89691,89691,95838,0
2010,724,1,381,H2,70310,8,735164,735164,448903,0
2010,724,1,276,H2,70310,8,2149464,2149464,952063,0
2010,724,1,251,H2,70310,8,14272189,14272189,6884508,0
2010,724,1,214,H2,70310,8,223,223,467,0
2010,724,1,208,H2,70310,8,417388,417388,247479,0
2010,724,1,156,H2,70310,8,24000,24000,16859,0
2010,724,1,152,H2,70310,8,6630578,6630578,4794934,0
2010,724,1,56,H2,70310,8,121725,121725,44448,0
2010,724,1,36,H2,70310,8,3302500,3302500,1838361,0
2010,724,1,32,H2,70310,8,1220690,1220690,989988,0
2010,724,1,0,H2,70310,8,58862080,58862080,30139480,0
2010,724,1,842,H2,701,8,20760,20760,29289,0
2010,724,1,826,H2,701,8,103012433,103012433,41654910,0
2010,724,1,818,H2,701,8,123850,123850,41663,0
2010,724,1,788,H2,701,8,269500,269500,135758,0
2010,724,1,752,H2,701,8,411722,411722,111253,0
2010,724,1,705,H2,701,8,171400,171400,52729,0
2010,724,1,620,H2,701,8,10820767,10820767,4420797,0
2010,724,1,616,H2,701,8,135200,135200,55854,0
2010,724,1,604,H2,701,8,23119,23119,6964,0
2010,724,1,568,H2,701,8,26000,26000,9993,0
2010,724,1,528,H2,701,8,65954296,65954296,53108937,0
2010,724,1,504,H2,701,8,4670901,4670901,2147359,0
